tư_vấn thuốc huyết_áp	chào bác sỹ cho tôi hỏi thuốc huyết_áp savi dopril có làm tăng nhịp tim khi uống không ả 
bệnh tim bẩm_sinh	bác sỹ cho em hỏi con_gái em năm nay được tuổi trong dịp tình_cờ đi siêu_âm phát_hiện bé bị hở van lá bác sũ có tư_vấn là hở nhẹ làm thêm xét_nghiệm khớp em đã cho bé làm aslo u ml rf ui ml crp mg l kết_quả xét_nghiệm như vậy thì có ảnh_hưởng gì đến tình_trạng bé không ạ hiện bé vẫn ăn học bình_thường không có biểu_hiện gì khác_thường ạ 
bệnh về tim	dạ thưa bác_sĩ cháu hiện_tại bị thường_xuyên khó thở đau bên tim và tim đập rỗi loạn đi khám thì không ra bệnh xin hỏi bác_sĩ cháu bị bệnh gì ạ 
tim_mạch	em có đọc một bài_báo về tuần_hoàn phần_trăm không biết bác_sĩ có biết tuần_hoàn phần_trăm là gì không ạ 
mạch_đập ở người	nhiều lúc em hay cảm_thấy được mạch_đập ở dưới da trong tầm vài giây rồi hết có khi ở chân đùi tay vai bụng như vậy có sao k ạ 
đau tim khó thở	chào bác_sĩ tôi năm nay tuổi cách đây vài ngày trong khi ngủ tôi giật_mình và có cảm_giác đau nhẹ ở ngực trái cụ_thể là tim khi hít thở mạnh chỉ có thể hít thở nhẹ_nhàng triệu_chứng kéo_dài khoảng phút thì hết trước đây tôi cũng có bị vài lần như vậy tôi nhớ lần đầu_tiên lúc đó tôi khoảng tuổi xin hỏi bác_sĩ tư_vấn giúp tôi triệu_chứng như vậy là biểu_hiện của bệnh gì xin chân_thành cám_ơn 
hỏi về chỉ_số máu	thể_tích trung_bình hc mcv là fl lượng hb trung_bình hc mch là pg máu lắng máy tự_động h là mm uric acid máu architect là mol l triglyceride architect là mmol l cholesterol architect là mmol l ldl cholesterol architect là mmol l ferritin cobas là ng ml cyfra cobas là ng ml tất_cả những chỉ_số trên đều vượt xin hỏi bác sỹ sức_khỏe tôi cảnh_báo như thế nào cần lưu_ý những gì về sức_khỏe cần phải đi khám chuyên_sâu gì trân_trọng cảm_ơn bác sỹ 
muốn hỏi	chào bác_sĩ dạo này cháu thấy có hiện_tượng đau ngực khó thở ở đó xuất_hiện trước đây khoảng tháng nhưng dần_dần cơn đau kéo_dài hơn có thể cho cháu hỏi cháu bị bệnh gì xin cảm_ơn bác_sĩ 
chỉ_số cholesterol trong máu	hôm_nay cháu có kết_quả xét_nghiệm máu như sau mã xét_nghiệm triglyceride au mmol l cholesterol au mmol l tăng xem chi_tiết hdl cholesterol au mmol l giảm xem chi_tiết ldl cholesterol au mmol l tăng xem chi_tiết cháu là trẻ thiếu cân tuổi nặng kg cao m nhưng có các chỉ_số cholesterol cao hơn mức chuẩn cháu nhanh_nhẹn hoạt_bát học thông_minh thích thể_thao vậy tôi phải có chế_độ ăn và tập_luyện cho cháu như thế nào để giảm lượng cholesterol 
hdl và ldl	thời_gian vừa_qua tôi dùng tỏi và gừng nên tryglicerite đã giảm từ xuống nhưng ldl vẫn cao và hdl vẫn thấp xin chuyên_gia cho tôi lời_khuyên về dinh_dưỡng để giảm được ldl và tăng được hdl xin chuyên_gia cho biết tỉ trong giữa ldl và hdl như thế nào là ổn ở tuổi của tôi 
độ phân_bố hồng_cầu	con_gái tôi tuổi xét_nghiệm có độ phân_bố hc chỉ_số nghĩa là gì 
bệnh huyết_áp cao	xin chào bác_sĩ tôi sinh năm đang có bệnh huyết_áp cao và hiện đang uống thuốc viên amlodipin bây_giờ tôi lại có thêm triệu_chứng thiếu_hụt canxi rất mong bác_sĩ tư_vấn dùm là tôi có thể uống loại canxi nào và uống khoảng bao lâu cho phù_hợp với bệnh của tôi xin cảm_ơn bác_sĩ 
suy_tim	bên quý viện có làm đc xn dấu_ấn sinh_học st và galastin ko ạ 
xin chào bác sỹ	thời_gian gần_đây tôi hay vì có những cơn đau_nhói lướt qua vùng ngực trái 
dị_ứng ngứa toàn_thân	cám_ơn bài các bác_sĩ đã đăng về chỉ_số ige cụ_thể người_nhà của gia_đình chỉ_số này là thay vì mức bình_thường là người_nhà bị ngứa toàn_thân cũng không rõ được nguyên_nhân vì trước đây không hề bị vậy hướng điều_trị sao cho thuyên_giảm kính nhờ các bác_sĩ cho lời_khuyên cám_ơn các bác ạ bị năm nay rồi a tiền_sử uống thước huyết_áp lâu_dài nếu đó là nguyên_nhân thì có nên ngưng thuốc không a 
điều_chỉnh thuốc chống đông máu	em đã thay van lá cơ_học và bây_giờ đang phải uống thuốc chống đông acenocoumarol với định_lượng là t và cn viên các ngày khác viên em mới đi xét_nghiệm lại thì chie số inr của e là thì em có phải điều_chỉnh thuốc ít đi hay nhiều lên ko ạ em cảm_ơn 
chỉ_số cholesteron	tôi có xét_nghiệm thấy chỉ_số này tăng cao liệu có nguy_hiểm ko ạ 
hỏi tư_vấn mỡ_máu	thưa bác sỹ kết_quả xét_nghiệm mỡ_máu của mẹ cháu triglycerit mỗi lần đọc kết_quả xét_nghiệm các bác sỹ của mỗi bệnh_viện đều khó hiểu sao quá cao mẹ cháu khám và chữa_trị cho đến nay là năm rồi mà vẫn cứ vậy mẹ cháu có tiền xử hở van_tim và một số bệnh về tim_mạch nhìn kết_quả mỗi lần xét_nghiệm là một ống máu phần mỡ_màu trắng_đục cháu thấy lo lắm nay được anh nhà bác giới_thiệu về bệnh_viện cũng như tư_vấn trực_tuyến cháu xin các bác sỹ tư_vấn giúp cháu cháu xin chân_thành cảm_ơn 
cao huyết_áp	chào các bác_sĩ cháu tuổi và trong lần đi khám sức_khoẻ vô_tình phát_hiện mình bị cao huyết_áp cháu có đi vài bệnh_viện tuyến tỉnh để tìm nguyên_nhân nhưng k ra cháu được giới_thiệu đến bệnh_viện mình vậy bác_sĩ có thể tư_vấn giúp cháu được k ạ 
xét_nghiệm mỡ trong máu là	bác_sĩ cho tôi hỏi biện_pháp nào làm giảm mỡ trong máu kết_quả xét_nghiệm mỡ trong máu của tôi là 
tim_mạch	bác si cho chau_hoi vào giấc ngu buổi trưa va buổi tối cháu dang ngu tim dập nhanh và dau_dau sau_do k ngu lai dc nữa bi nhu vay thương xuyên ah mong bs tu_van giup cháu 
bệnh cao huyết_áp	xin cho hoi bac_si vợ em nay tuoi_ma bi_cao huyet_ap bac_si tu_van giup em co cach nao tri khoi kg bac_si em cam_on bac_si 
đau_nhói tim	tôi thi thoảng thấy đau_nhói ở tim thổn_thức khó thở khônh biết bị làm sao vậy bác_sĩ 
bố tôi có bệnh cao huyết_áp tim_mạch tiền_sử đã lần bị tai_biến	bố tôi có bệnh cao huyết_áp tim_mạch tiền_sử đã lần bị tai_biến cách đây hơn tháng có bịviêm phổi kèm theo phù_nề mặt chân đã điều_trị tại bv tỉnh khỏi hiện_nay chân lại có hiện_tượng phù_nề trong người không có biểu_hiện gì tôi muốn đưa ông xuống khám tại khoa khám bệnh theo yêu_cầu bv bạch_mai vậy tôi có thể đăng_ký khám phòng_khám chuyên_khoa nào ạ 
nhờ bs tư_vấn giúp	mã tra_cứu mk rất mong tư_vấn của bác sỹ trân_trọng cảm_ơn 
tim đập nhanh	em đang sử_dụng thuốc viêm dạ_dày tá_tràng và em thấy tim đập rất nhanh đó có phải do tác_dụng phụ của thuốc không và em nên làm gì 
đau ngực căng_thẳng sắp thi đại_học	cháu chào bác sỹ hôm quá trong lúc làm bài_tập vì quá căng_thẳng nên cháu cảm_thấy tức ngực và cảm_thấy khó thở sau khi về nhà trước khi đi ngủ thì cháu lại cảm_thấy đau khi nằm hay cựa may vùng cả có cảm_giác bị dát cháu nghĩ khi ngủ dậy_thì sẽ đỡ nhưng cháu vẫn bị và có vẻ nặng hơn bây_giờ cháu sắp thi đại_học rồi nên cháu hi_vọng bác có thể tư_vấn cho cháu sớm ạ 
chỉ_số triglyceride cao	chỉ_số chỉ_số triglyceride cao và hdl cholesterol thấp ảnh_hưởng như nào đến sức_khỏe 
đau giữa ngực	xin bác sỹ tư_vấn là vợ tôi có bị đau ở giữa ngực phần xương_ức thỉnh_thoảng ăn vào là đau xin bsy tư_vấn 
tim_mạch	dạ bác_sĩ cho cháu hỏi với ạ cháu phỗ thuật tim thông liên thất bít dù được tháng hôm_qua cháu thấy tim đậo nhanh và chóng_mặt choáng_váng và rất khó_chịu trong người sáng hôm_nay cháu dậy thấy người rất mệt và khó_chịu mặt tái_xanh đi cháu có xuống viện khám thì bác_sĩ siêu_âm cho cháu bảo mọi cái bình_thường k sao cả nhưng cháu điện tim thì họ kết_luận cháu bị block nhánh phải hoàn_toàn vàblock nhĩ tâm_thất cấp ạ rồi cho cháu thuốc uống bác_sĩ cho cháu hỏi tình_hình của cháu có lo_lắng lắm k ạ 
mỡ_máu	tôi vừa xét_nghiệm mỡ_máu trigly cholesterol hdl ldl tôi muốn tư_vấn tình_trạng trên 
bệnh	sức_khoẻ 
hay quên và huyết_áp	tôi hay bị quên và huyết_áp cao tôi muốn bác_sĩ tư_vấn khám về bệnh mất trí_nhớ và liên_quan về tim_mạch và một số bệnh khác 
tư_vấn chỉ_số tryglycerid tăng	sau khi xét_nghiệm máu chỉ_số tryglycerid của tôi là mmol l các chỉ_số còn lại đều bình_thường xin hỏi bác_sĩ chỉ_số cao như vậy có nguy_hiểm gì không ạ xin cảm_ơn 
bị tức ngực phải	chào bác sỹ nhờ bác sỹ tư_vấn giúp cháu ạ thời_gian gần_đây cháu hay hồi_hộp mỗi lần xúc_động mạnh là cháu bị tức ngực bên phía phải xin bác sỹ tư_vấn giúp cháu cần đi khám như thế nào ạ 
tư_vấn chọn chỉ_tiêu xét_nghiệm máu	chào bác_sĩ tôi làm công_việc phải đứng và đi lại nhiều tiền_sử không có bệnh gì đặc_biệt tiền_sử gia_đình có mẹ bị cao huyết_áp và chị_gái bị hở van_tim ngày_nay tôi có dấu_hiệu phù chân dưới phù vùng mắt_cá chân và có xuất_hiện của các mạch_máu mạng_nhện nhỏ màu_đỏ dưới da hai chân phù và khó_khăn và đau khi đi lại không khó thở tôi đã làm siêu_âm mạch tuy nhiên không có dấu_hiệu của suy mạch hay trào ngược ngày_nay tôi dùng tất áp_lực tuy nhiên tình_trạng phù chỉ đỡ hơn chút_ít bác_sĩ tư_vấn giúp tôi cần làm những xét_nghiệm gì đối với trường_hợp của tôi với ạ cảm_ơn bác_sĩ nhiều 
thường_xuyên xảy ra tình_trạng tức ngực khó thở	chào bác_sĩ vợ em có những biểu_hiện như khó thở nếu ở trong những không_gian nhỏ hay tức ngực khó thở đôi lúc lại đâu phái sai lưng và vợ chồng em quan_hệ lúc lên đỉnh thì vợ em có biểu_hiện khó thở tức ngực và muốn ngất_xỉu trước đậy lúc đến tuổi thì có biểu_hiện đâu ngực và ngất_xỉu nhưng ko nhiều nhưng thời_gian qua không còn nữa nhưng suy_nghĩ nhiều lại tực ngực khó thở bác_sĩ tư_vấn giúp em_vợ em có phải bị bệnh tim không quy_trình điều_trị thế nào có thể trị khỏi không có ảnh_hưởng tới việc sinh con và sinh con có nguy_hiểm không ạ e cảm_ơn bác sỹ 
theo_dõi bệnh cao huyết_áp	chào bác_sĩ em năm nay t đợt vừa rồi em có đi khám thì được chỉ_định là cao huyết_áp lúc đeo holter thì em để_ý thấy ha trung_bình của em cỡ mmhg em đi bộ lên cầu_thang có lúc đo lên mmhg em có chỉ_số men gan hơi cao hình_như là chỉ_số gpt cao giờ em đang được điều_trị lorsatan mg uống coversyl mg em bị ho với hơi chóng_mặt nên bác_sĩ cho đổi thuốc bệnh cao ha của em nếu xét_nghiệm hormon thì chi_phí xét_nghiệm hết bao nhiêu nếu em lấy mẫu tại_chỗ ở của em và khi nào thì em nhận được kết_quả xét_nghiệm vậy 
dùng nghệ vàng liệu có ảnh_hưởng đến tim_mạch	mẹ cháu năm nay tuổi có tiền_sử về tim nay mẹ cháu dùng mật_ong với nghệ trị về bao_tử không biết có ảnh_hưởng gì về tim không ạ mong bác_sĩ giúp ạ 
tư_vấn về bệnh tim	xin bác_sĩ tư_vấn giúp tôi chồng tôi năm nay tuổi đã từng mổ tim và hiệm giò cứ cách đến tháng đi kiểm_tra lần nhưng tôi thấy mỗi lần chồng tôi đi khám về vấn_đề chỉ liên_quan tới máu do máu bị loãng vậy xin hỏi bác_sĩ chế_độ ăn uống sinh_hoạt như thế nào để không xảy ra tình_trạng máu bị loãng 
choáng_váng sau khi uống rượu liệu bị bệnh gì	thưa bác_sĩ em năm nay t uống rượu bia khá yếu mặt dễ đỏ khi uống không hiểu sao có lúc em uống bia thấy vẫn khỏe lúc thì uống xong đang đi tiểu thì cảm_thấy rất mệt choáng_váng và muốn ngất quỵ xuống đất nhờ bác_sĩ tư_vấn giúp là em bị bệnh gì và nên giải_quyết như thế nào em chân_thành cảm_ơn 
xét_nghiệm đánh_giá cục máu đông và điều_trị	hôm_qua e có đi khám định_kỳ và xét_nghiệm irn bác_sĩ bảo máu hơi đông và cho thuốc tiêm lovenox e quên không hỏi bác_sĩ bây_giờ e muốn hỏi là trong thời_gian sử_dụng thuốc tiêm e có được dùng thuốc uống chống đông darius như mọi ngày không hay khi hết liều thuốc tiêm em mới được uống bình_thường ạ e cảm_ơn 
viêm_khớp sau đó đau ngực ở tuổi phát_triển	c chào bs ạ cháu là chuyên tuổi ạ năm trước cháu bị viêm_khớp sau đó bị đau ngực nhưng khi đi khám bs thì bs bảo rằng do phát_triển sau một thời_gian dài cháu thấy ko đau nữa và bệnh cũng khỏi ạ nhưng dạo này đầu_tiên cháu thấy hơi khó thở sau đó ngày hôm_nay cháu thấy đau râm rẩm ở phía bên trái ngực khi nằm thì thấy cổ_họng ko đc thoải_mái lắm ạ c cũng có tiền_sử bệnh hen xuyễn dãn thận đau dạ_dày viêm_khớp và viêm_xoang bs có thể cho c lời_khuyên xem có nên ktra ko ạ noa có thể là triệu_chứng của bệnh nào đó ko ạ c cảm_ơn bs nhiều ạ 
price question	i_am not drinking and no smoking but i have severe pain in my chest and back and my heart is beating fast even if i_am just sitting passively how much will be_the consulting and the mrt or usg examination of my heart 
tư_vấn sức_khoẻ	cháu thường hay bị khó thở nhất là những lúc leo cầu_thang chạy vận_động mạnh gần_đây thì chỉ cần ngồi thỉnh_thoảng vẫn khó thở co thắt bụng nóng mặt choáng đã choáng và ngất lần rồi ạ bác_sĩ cho cháu hỏi đó là dấu_hiệu của bệnh gì và cháu phải điều_trị như thế nào ạ 
